Date,Open,High,Low,Close,Volume,Market Cap
"Dec 02, 2017",58.17,58.90,54.21,55.41,"3,053,320","364,935,000"
"Dec 01, 2017",56.84,58.41,50.89,58.41,"3,625,560","356,206,000"
"Nov 30, 2017",49.68,67.37,45.11,56.64,"9,936,510","311,003,000"
"Nov 29, 2017",55.84,69.93,45.86,48.94,"10,574,400","349,196,000"
"Nov 28, 2017",58.74,58.93,51.32,56.00,"7,372,390","366,970,000"
"Nov 27, 2017",61.50,68.52,53.73,60.04,"11,913,600","383,774,000"
"Nov 26, 2017",49.69,63.51,46.80,61.73,"16,942,800","309,762,000"
"Nov 25, 2017",47.71,50.94,44.81,49.96,"5,058,140","297,129,000"
"Nov 24, 2017",43.34,50.24,40.05,48.18,"7,656,400","269,568,000"
"Nov 23, 2017",40.39,45.37,38.67,42.97,"5,145,980","250,978,000"
"Nov 22, 2017",34.11,40.74,33.49,40.42,"2,837,990","211,720,000"
"Nov 21, 2017",33.67,35.06,32.06,34.14,"1,105,250","208,798,000"
"Nov 20, 2017",35.04,35.30,33.37,34.04,"1,003,650","217,053,000"
"Nov 19, 2017",35.54,36.20,33.60,35.06,"1,314,670","219,909,000"
"Nov 18, 2017",32.05,35.59,31.45,34.82,"889,428","198,149,000"
"Nov 17, 2017",32.56,34.85,31.98,32.04,"774,417","201,045,000"
"Nov 16, 2017",34.37,34.57,32.33,32.64,"930,075","211,980,000"
"Nov 15, 2017",34.24,35.73,33.05,34.35,"1,392,810","210,956,000"
"Nov 14, 2017",31.89,34.32,31.51,34.32,"598,313","196,289,000"
"Nov 13, 2017",29.52,33.66,29.26,31.79,"1,190,620","181,499,000"
"Nov 12, 2017",30.48,31.43,26.59,29.42,"1,481,680","187,209,000"
"Nov 11, 2017",30.17,31.38,28.49,30.71,"1,123,000","185,105,000"
"Nov 10, 2017",33.21,34.49,29.52,30.27,"1,915,030","203,552,000"
"Nov 09, 2017",31.54,33.67,29.76,33.06,"1,319,970","193,102,000"
"Nov 08, 2017",29.26,32.46,28.22,31.58,"1,376,420","178,933,000"
"Nov 07, 2017",28.77,29.81,27.71,29.33,"719,772","175,780,000"
"Nov 06, 2017",28.70,30.13,27.42,28.80,"765,875","175,152,000"
"Nov 05, 2017",29.17,30.57,27.34,29.04,"663,890","177,812,000"
"Nov 04, 2017",27.65,31.12,27.28,28.93,"1,261,680","168,366,000"
"Nov 03, 2017",24.77,28.22,24.40,27.61,"868,381","150,680,000"
"Nov 02, 2017",26.97,27.21,24.04,24.81,"1,047,120","163,871,000"
"Nov 01, 2017",28.53,28.53,26.35,26.89,"674,856","173,173,000"
"Oct 31, 2017",30.16,30.22,27.06,28.40,"827,355","182,804,000"
"Oct 30, 2017",29.23,30.46,28.13,30.25,"725,660","177,022,000"
"Oct 29, 2017",30.60,33.72,29.31,29.35,"1,562,360","185,115,000"
"Oct 28, 2017",29.70,32.16,29.41,30.96,"874,341","179,462,000"
"Oct 27, 2017",30.17,32.18,29.04,29.72,"731,325","182,148,000"
"Oct 26, 2017",34.68,35.19,28.97,30.22,"1,918,150","209,077,000"
"Oct 25, 2017",27.50,36.86,26.80,35.00,"2,207,130","165,660,000"
"Oct 24, 2017",23.48,28.54,22.84,27.59,"1,110,740","141,305,000"
"Oct 23, 2017",26.26,26.33,23.18,23.48,"599,996","157,850,000"
"Oct 22, 2017",24.84,26.28,23.60,26.10,"399,806","149,159,000"
"Oct 21, 2017",24.67,26.95,23.04,24.79,"813,369","147,917,000"
"Oct 20, 2017",27.37,29.11,24.73,24.82,"717,252","163,937,000"
"Oct 19, 2017",27.41,27.62,26.55,26.97,"296,157","164,046,000"
"Oct 18, 2017",28.74,28.81,25.52,27.40,"515,494","171,811,000"
"Oct 17, 2017",27.23,29.58,26.31,28.85,"582,969","162,532,000"
"Oct 16, 2017",27.73,28.23,26.30,27.23,"509,012","165,330,000"
"Oct 15, 2017",28.27,29.19,26.10,27.75,"430,738","168,369,000"
"Oct 14, 2017",27.60,29.45,27.26,28.15,"530,962","164,193,000"
"Oct 13, 2017",28.74,29.10,25.99,27.59,"820,954","170,806,000"
"Oct 12, 2017",27.71,28.91,27.00,28.86,"814,095","164,484,000"
"Oct 11, 2017",27.83,28.90,27.03,27.84,"530,678","164,998,000"
"Oct 10, 2017",26.46,29.49,25.16,27.84,"855,310","156,740,000"
"Oct 09, 2017",27.40,28.99,24.69,26.59,"1,145,220","162,116,000"
"Oct 08, 2017",29.81,30.09,26.80,27.22,"890,223","176,166,000"
"Oct 07, 2017",30.68,31.41,29.09,29.88,"450,194","181,077,000"
"Oct 06, 2017",30.34,30.73,29.37,30.51,"579,396","178,854,000"
"Oct 05, 2017",30.84,32.26,29.50,30.34,"535,107","181,640,000"
"Oct 04, 2017",31.58,33.53,30.33,30.78,"583,156","185,787,000"
"Oct 03, 2017",34.11,34.11,30.36,31.66,"756,207","200,443,000"
"Oct 02, 2017",33.10,36.41,32.20,34.21,"1,346,750","194,309,000"
"Oct 01, 2017",34.49,34.69,32.45,33.10,"769,357","202,154,000"
"Sep 30, 2017",34.20,35.48,33.35,34.58,"577,705","200,263,000"
"Sep 29, 2017",34.65,34.88,32.87,34.14,"636,638","202,656,000"
"Sep 28, 2017",36.20,36.38,33.54,34.66,"1,082,720","211,480,000"
"Sep 27, 2017",33.74,37.38,33.37,36.10,"1,591,530","196,921,000"
"Sep 26, 2017",34.96,35.27,33.46,33.46,"955,503","203,777,000"
"Sep 25, 2017",33.76,35.72,33.22,34.96,"1,251,560","196,539,000"
"Sep 24, 2017",37.23,37.69,33.36,33.72,"1,230,700","216,445,000"
"Sep 23, 2017",30.79,38.15,30.79,37.54,"1,658,140","178,795,000"
"Sep 22, 2017",31.93,35.60,31.13,31.13,"1,478,070","185,250,000"
"Sep 21, 2017",36.00,38.34,31.60,31.98,"3,104,750","208,604,000"
"Sep 20, 2017",32.41,40.08,32.16,36.07,"5,887,380","187,570,000"
"Sep 19, 2017",31.01,33.95,29.34,32.40,"1,782,770","179,257,000"
"Sep 18, 2017",29.49,32.47,29.49,30.94,"1,157,730","170,259,000"
"Sep 17, 2017",30.89,31.39,28.63,29.79,"706,172","178,125,000"
"Sep 16, 2017",29.58,33.39,28.77,30.89,"1,029,260","170,410,000"
"Sep 15, 2017",24.10,31.19,21.85,29.70,"2,353,720","138,667,000"
"Sep 14, 2017",26.22,27.27,22.12,23.83,"1,921,540","150,699,000"
"Sep 13, 2017",27.51,29.23,24.53,26.73,"1,649,640","157,889,000"
"Sep 12, 2017",28.93,30.61,26.50,27.73,"847,669","165,834,000"
"Sep 11, 2017",28.66,30.03,27.28,29.01,"998,634","164,109,000"
"Sep 10, 2017",30.72,31.27,27.29,28.69,"906,475","175,700,000"
"Sep 09, 2017",31.54,31.89,29.39,30.40,"788,176","180,165,000"
"Sep 08, 2017",33.90,36.59,29.84,31.53,"1,296,220","193,444,000"
"Sep 07, 2017",34.51,34.91,32.86,33.93,"726,765","196,639,000"
"Sep 06, 2017",33.79,35.44,32.56,34.74,"918,098","192,361,000"
"Sep 05, 2017",32.24,34.56,28.93,34.08,"1,176,300","183,293,000"
"Sep 04, 2017",36.44,36.86,29.60,32.27,"1,541,850","206,928,000"
"Sep 03, 2017",36.29,39.31,34.83,36.64,"646,132","205,793,000"
"Sep 02, 2017",41.05,42.35,34.65,36.33,"1,128,560","232,566,000"
"Sep 01, 2017",38.10,41.74,36.86,41.35,"1,876,320","215,536,000"
"Aug 31, 2017",38.32,38.94,36.14,38.09,"1,380,050","216,516,000"
"Aug 30, 2017",35.37,39.68,35.01,38.40,"1,773,310","199,655,000"
"Aug 29, 2017",39.59,39.93,35.23,35.39,"2,636,660","223,165,000"
"Aug 28, 2017",40.70,42.18,37.66,39.82,"2,252,980","229,128,000"
"Aug 27, 2017",38.39,43.28,35.97,41.21,"3,136,050","215,803,000"
"Aug 26, 2017",34.64,42.07,33.12,38.53,"4,209,060","194,536,000"
"Aug 25, 2017",31.09,34.54,29.91,34.53,"1,982,100","174,411,000"
"Aug 24, 2017",26.41,31.88,26.32,31.16,"2,852,650","147,963,000"
"Aug 23, 2017",25.97,27.99,25.07,26.32,"876,055","145,282,000"
"Aug 22, 2017",27.40,27.73,24.41,25.96,"1,131,900","153,117,000"
"Aug 21, 2017",26.27,28.06,25.12,27.41,"934,142","146,632,000"
"Aug 20, 2017",27.14,27.29,24.76,26.28,"976,831","151,313,000"
"Aug 19, 2017",23.74,27.92,22.27,27.92,"1,297,340","132,181,000"
"Aug 18, 2017",24.39,26.72,23.31,23.88,"794,764","135,614,000"
"Aug 17, 2017",26.20,27.56,23.81,24.47,"975,883","145,531,000"
"Aug 16, 2017",30.05,30.21,24.51,26.27,"1,203,980","166,699,000"
"Aug 15, 2017",23.33,31.02,22.66,30.02,"1,976,850","129,238,000"
"Aug 14, 2017",25.37,26.56,21.48,23.32,"1,706,170","140,380,000"
"Aug 13, 2017",26.37,27.72,22.95,25.59,"1,232,020","145,710,000"
"Aug 12, 2017",26.74,29.15,25.05,26.59,"1,688,200","147,601,000"
"Aug 11, 2017",28.20,29.00,26.18,26.74,"1,910,380","155,440,000"
"Aug 10, 2017",29.47,30.50,28.20,28.20,"862,145","162,243,000"
"Aug 09, 2017",31.73,32.33,28.26,29.47,"1,420,520","174,444,000"
"Aug 08, 2017",30.67,32.43,29.31,31.68,"978,874","168,415,000"
"Aug 07, 2017",30.51,31.24,28.72,30.51,"958,877","167,328,000"
"Aug 06, 2017",30.37,31.35,30.10,30.58,"659,951","166,393,000"
"Aug 05, 2017",28.31,31.49,28.29,30.49,"959,859","154,871,000"
