Date,Open,High,Low,Close,Volume,Market Cap
"Dec 02, 2017",7.72,7.90,7.52,7.70,"18,663,400","891,575,000"
"Dec 01, 2017",7.48,7.95,7.12,7.73,"24,098,300","863,264,000"
"Nov 30, 2017",7.00,7.55,6.70,7.50,"25,251,200","807,876,000"
"Nov 29, 2017",7.83,8.03,6.72,6.90,"34,207,700","903,169,000"
"Nov 28, 2017",7.91,8.35,7.79,7.79,"26,685,400","912,326,000"
"Nov 27, 2017",7.49,8.06,7.49,7.89,"29,071,700","863,396,000"
"Nov 26, 2017",8.03,8.09,7.47,7.51,"30,757,600","925,420,000"
"Nov 25, 2017",7.88,8.49,7.88,8.04,"28,727,000","908,561,000"
"Nov 24, 2017",7.40,8.12,7.36,7.89,"33,888,100","852,845,000"
"Nov 23, 2017",8.66,8.83,7.38,7.49,"59,098,700","997,919,000"
"Nov 22, 2017",9.68,10.70,8.01,8.57,"106,176,000","1,114,590,000"
"Nov 21, 2017",9.74,10.16,9.25,9.68,"26,816,700","1,121,400,000"
"Nov 20, 2017",9.72,10.22,9.54,9.77,"26,170,000","1,118,590,000"
"Nov 19, 2017",9.25,10.26,9.13,9.74,"39,171,200","1,063,710,000"
"Nov 18, 2017",8.34,9.53,7.96,9.28,"28,695,700","959,358,000"
"Nov 17, 2017",8.37,9.58,8.02,8.28,"47,083,900","961,893,000"
"Nov 16, 2017",8.49,11.15,8.41,8.41,"140,758,000","975,188,000"
"Nov 15, 2017",7.13,8.68,7.13,8.45,"61,652,800","818,827,000"
"Nov 14, 2017",6.39,7.14,6.32,7.10,"24,092,900","733,401,000"
"Nov 13, 2017",5.50,6.50,5.50,6.34,"29,720,300","631,108,000"
"Nov 12, 2017",5.78,5.85,4.89,5.50,"20,592,700","663,164,000"
"Nov 11, 2017",5.60,6.31,5.51,5.78,"15,022,000","642,032,000"
"Nov 10, 2017",6.43,6.64,5.36,5.64,"19,419,400","737,826,000"
"Nov 09, 2017",6.06,6.81,5.94,6.45,"23,326,800","694,710,000"
"Nov 08, 2017",5.15,6.58,4.94,6.05,"33,549,400","589,631,000"
"Nov 07, 2017",4.57,5.20,4.56,5.19,"12,194,100","523,482,000"
"Nov 06, 2017",4.46,4.64,4.36,4.59,"8,039,310","510,696,000"
"Nov 05, 2017",4.58,4.63,4.42,4.44,"6,841,900","524,234,000"
"Nov 04, 2017",4.52,4.78,4.40,4.59,"8,450,130","517,446,000"
"Nov 03, 2017",4.32,4.55,4.24,4.54,"8,505,170","494,304,000"
"Nov 02, 2017",4.48,4.59,4.01,4.33,"13,966,400","512,403,000"
"Nov 01, 2017",4.74,4.74,4.48,4.51,"10,934,000","541,459,000"
"Oct 31, 2017",4.91,4.95,4.72,4.74,"7,576,110","561,021,000"
"Oct 30, 2017",4.86,4.94,4.71,4.93,"8,187,830","555,173,000"
"Oct 29, 2017",4.68,4.96,4.67,4.88,"8,168,720","534,088,000"
"Oct 28, 2017",4.98,5.08,4.67,4.68,"7,004,750","567,727,000"
"Oct 27, 2017",5.17,5.17,4.87,4.96,"7,382,280","589,906,000"
"Oct 26, 2017",5.18,5.39,4.95,5.18,"9,611,640","590,839,000"
"Oct 25, 2017",5.57,5.57,5.02,5.20,"10,980,300","635,269,000"
"Oct 24, 2017",4.69,5.94,4.61,5.53,"17,643,400","534,693,000"
"Oct 23, 2017",4.72,4.81,4.42,4.71,"7,981,790","537,739,000"
"Oct 22, 2017",4.70,4.83,4.64,4.74,"7,477,790","535,472,000"
"Oct 21, 2017",4.90,4.92,4.46,4.71,"9,333,630","558,166,000"
"Oct 20, 2017",4.98,5.14,4.84,4.93,"13,489,300","566,917,000"
"Oct 19, 2017",5.16,5.26,4.85,4.98,"14,596,700","586,421,000"
"Oct 18, 2017",5.12,5.17,4.79,5.14,"13,438,000","581,733,000"
"Oct 17, 2017",4.96,5.15,4.80,5.10,"8,296,440","563,972,000"
"Oct 16, 2017",4.91,5.14,4.66,4.96,"8,730,360","558,002,000"
"Oct 15, 2017",4.79,4.94,4.46,4.91,"9,608,200","544,147,000"
"Oct 14, 2017",4.88,4.94,4.62,4.79,"9,047,430","553,614,000"
"Oct 13, 2017",4.97,5.09,4.68,4.90,"11,823,300","564,070,000"
"Oct 12, 2017",5.37,5.40,4.92,4.98,"12,557,300","608,779,000"
"Oct 11, 2017",4.93,5.43,4.93,5.36,"12,557,800","558,728,000"
"Oct 10, 2017",4.72,5.01,4.54,4.92,"10,170,300","535,293,000"
"Oct 09, 2017",4.66,4.94,4.36,4.70,"14,700,000","528,323,000"
"Oct 08, 2017",5.17,5.20,4.60,4.66,"12,078,300","585,926,000"
"Oct 07, 2017",5.34,5.34,5.04,5.19,"8,526,500","604,462,000"
"Oct 06, 2017",5.42,5.45,5.27,5.34,"7,992,970","613,636,000"
"Oct 05, 2017",5.54,5.58,5.27,5.41,"10,001,200","626,278,000"
"Oct 04, 2017",5.72,5.87,5.44,5.53,"9,621,440","646,839,000"
"Oct 03, 2017",5.42,5.75,5.26,5.70,"11,714,700","612,239,000"
"Oct 02, 2017",5.51,5.72,5.36,5.42,"10,486,800","622,697,000"
"Oct 01, 2017",5.85,5.86,5.45,5.51,"11,903,000","661,246,000"
