Date,Open,High,Low,Close,Volume,Market Cap
"Dec 02, 2017",190.83,205.26,186.68,203.03,"80,791,100","2,943,520,000"
"Dec 01, 2017",179.72,191.85,169.76,190.94,"70,430,500","2,771,380,000"
"Nov 30, 2017",170.49,195.39,156.53,180.14,"128,112,000","2,627,490,000"
"Nov 29, 2017",203.91,214.28,165.33,168.15,"178,828,000","3,142,680,000"
"Nov 28, 2017",175.35,203.21,173.17,203.21,"179,179,000","2,701,720,000"
"Nov 27, 2017",162.92,173.39,159.95,173.39,"81,489,700","2,509,520,000"
"Nov 26, 2017",168.57,168.72,159.76,163.37,"61,100,400","2,595,920,000"
"Nov 25, 2017",160.00,170.10,160.00,168.44,"64,076,700","2,463,190,000"
"Nov 24, 2017",158.62,162.94,156.76,160.03,"69,178,000","2,441,330,000"
"Nov 23, 2017",166.11,172.92,156.45,158.61,"109,392,000","2,555,950,000"
"Nov 22, 2017",142.08,173.45,141.14,165.95,"189,472,000","2,184,930,000"
"Nov 21, 2017",136.10,142.21,131.37,141.74,"72,701,500","2,093,010,000"
"Nov 20, 2017",129.50,140.55,128.49,135.76,"59,945,400","1,990,900,000"
"Nov 19, 2017",130.72,133.62,127.21,129.48,"42,133,000","2,009,180,000"
"Nov 18, 2017",126.59,135.01,123.53,130.80,"62,156,400","1,945,200,000"
"Nov 17, 2017",120.02,126.70,119.25,126.70,"47,127,700","1,843,600,000"
"Nov 16, 2017",121.24,128.09,118.50,120.31,"74,944,100","1,861,940,000"
"Nov 15, 2017",122.24,124.72,119.19,121.37,"49,976,700","1,876,740,000"
"Nov 14, 2017",123.62,124.20,118.63,122.35,"53,544,800","1,896,990,000"
"Nov 13, 2017",128.96,136.53,120.92,123.40,"116,200,000","1,978,840,000"
"Nov 12, 2017",119.60,133.68,110.62,123.86,"144,948,000","1,834,630,000"
"Nov 11, 2017",105.75,127.11,103.88,119.62,"107,708,000","1,621,800,000"
"Nov 10, 2017",121.34,121.67,101.76,105.59,"84,614,000","1,860,390,000"
"Nov 09, 2017",112.53,123.41,112.22,120.78,"86,864,600","1,724,820,000"
"Nov 08, 2017",99.82,115.94,99.14,113.31,"79,822,900","1,529,550,000"
"Nov 07, 2017",104.23,104.75,95.05,99.76,"81,253,300","1,596,750,000"
