Date,Open,High,Low,Close,Volume,Market Cap
"Dec 02, 2017",4.08,4.56,3.94,4.45,"2,362,890","224,796,000"
"Dec 01, 2017",3.79,4.25,3.64,4.10,"3,507,490","208,648,000"
"Nov 30, 2017",3.50,3.84,3.12,3.76,"1,863,840","192,758,000"
"Nov 29, 2017",4.29,4.29,3.38,3.46,"3,825,270","235,945,000"
"Nov 28, 2017",3.79,5.87,3.71,4.32,"25,570,600","208,682,000"
"Nov 27, 2017",3.54,3.79,3.54,3.78,"1,951,790","194,822,000"
"Nov 26, 2017",3.26,3.67,3.23,3.51,"1,716,170","179,059,000"
"Nov 25, 2017",3.05,3.31,3.02,3.26,"1,046,570","167,645,000"
"Nov 24, 2017",3.04,3.08,2.91,3.05,"1,089,170","167,014,000"
"Nov 23, 2017",3.09,3.18,2.97,3.04,"1,060,520","170,081,000"
"Nov 22, 2017",2.96,3.21,2.90,3.05,"1,107,400","162,943,000"
"Nov 21, 2017",2.90,3.09,2.73,2.97,"1,458,680","159,339,000"
"Nov 20, 2017",3.04,3.11,2.85,2.90,"882,014","166,995,000"
"Nov 19, 2017",3.01,3.17,2.93,3.04,"700,817","165,143,000"
"Nov 18, 2017",2.94,3.17,2.82,3.01,"638,172","161,366,000"
"Nov 17, 2017",3.11,3.26,2.95,2.95,"741,596","170,045,000"
"Nov 16, 2017",3.23,3.43,2.96,3.08,"1,108,260","176,961,000"
"Nov 15, 2017",3.15,3.28,3.11,3.22,"396,318","172,166,000"
"Nov 14, 2017",3.19,3.24,3.02,3.14,"345,885","174,543,000"
"Nov 13, 2017",3.00,3.41,2.90,3.18,"618,909","164,313,000"
"Nov 12, 2017",3.36,3.37,2.74,2.98,"539,335","183,848,000"
"Nov 11, 2017",3.29,3.59,3.11,3.36,"717,375","180,063,000"
"Nov 10, 2017",3.40,3.59,2.84,3.30,"1,215,490","200,714,000"
"Nov 09, 2017",3.37,3.43,3.15,3.39,"1,005,160","184,199,000"
"Nov 08, 2017",2.83,3.42,2.65,3.38,"1,942,510","154,487,000"
"Nov 07, 2017",2.92,2.99,2.79,2.84,"1,246,480","159,763,000"
"Nov 06, 2017",3.10,3.28,2.81,2.89,"938,248","169,527,000"
"Nov 05, 2017",2.76,3.31,2.76,3.06,"1,605,640","150,753,000"
"Nov 04, 2017",2.87,2.98,2.72,2.75,"686,107","156,637,000"
"Nov 03, 2017",2.72,2.95,2.41,2.84,"1,068,960","148,714,000"
"Nov 02, 2017",2.69,3.22,2.09,2.71,"1,781,060","147,127,000"
"Nov 01, 2017",2.97,3.03,2.62,2.69,"1,341,230","162,148,000"
"Oct 31, 2017",3.24,3.41,2.86,2.97,"1,143,060","176,950,000"
"Oct 30, 2017",3.27,3.38,3.21,3.28,"266,133","178,468,000"
"Oct 29, 2017",3.13,3.46,3.13,3.35,"368,702","170,603,000"
"Oct 28, 2017",3.31,3.41,3.10,3.18,"231,745","186,046,000"
"Oct 27, 2017",3.33,3.37,3.19,3.30,"157,036","186,751,000"
"Oct 26, 2017",3.45,3.53,3.22,3.33,"298,358","192,393,000"
"Oct 25, 2017",3.42,3.46,3.21,3.45,"397,752","190,229,000"
"Oct 24, 2017",3.16,3.60,2.99,3.45,"604,599","174,259,000"
"Oct 23, 2017",3.42,3.52,3.09,3.09,"294,843","187,088,000"
"Oct 22, 2017",3.25,3.77,3.25,3.42,"745,540","177,700,000"
"Oct 21, 2017",3.18,3.35,2.92,3.30,"499,864","173,598,000"
"Oct 20, 2017",3.50,3.56,3.21,3.21,"739,472","191,142,000"
"Oct 19, 2017",3.75,3.85,3.27,3.50,"1,366,020","204,754,000"
"Oct 18, 2017",3.84,3.87,3.36,3.78,"896,628","209,499,000"
"Oct 17, 2017",4.13,4.17,3.53,3.83,"1,242,610","225,097,000"
"Oct 16, 2017",4.06,4.11,3.59,4.01,"1,676,990","220,996,000"
"Oct 15, 2017",3.98,4.31,3.80,4.07,"1,131,240","216,975,000"
"Oct 14, 2017",3.66,4.00,3.59,3.98,"662,710","199,412,000"
"Oct 13, 2017",3.48,3.95,3.42,3.66,"1,105,600","189,754,000"
"Oct 12, 2017",3.64,3.84,3.40,3.54,"1,731,330","198,147,000"
"Oct 11, 2017",3.26,3.62,3.17,3.59,"860,084","177,399,000"
"Oct 10, 2017",3.38,3.44,3.04,3.23,"942,939","183,949,000"
"Oct 09, 2017",3.22,3.50,2.99,3.36,"1,244,400","175,462,000"
"Oct 08, 2017",3.58,3.72,3.25,3.27,"1,106,120","194,633,000"
"Oct 07, 2017",3.66,3.68,3.45,3.57,"914,098","199,436,000"
"Oct 06, 2017",3.43,3.69,3.29,3.66,"1,135,960","186,547,000"
"Oct 05, 2017",3.32,3.54,3.05,3.43,"1,064,810","180,422,000"
"Oct 04, 2017",3.49,3.77,3.18,3.28,"3,263,140","190,087,000"
"Oct 03, 2017",2.79,3.85,2.49,3.52,"3,239,900","151,842,000"
"Oct 02, 2017",3.00,3.06,2.75,2.77,"566,438","163,355,000"
"Oct 01, 2017",3.21,3.23,2.97,2.99,"327,672","174,436,000"
"Sep 30, 2017",3.05,3.28,3.04,3.21,"313,977","165,694,000"
"Sep 29, 2017",3.17,3.22,2.94,3.07,"475,544","172,125,000"
"Sep 28, 2017",3.23,3.29,3.13,3.19,"493,125","175,404,000"
"Sep 27, 2017",2.98,3.27,2.98,3.23,"555,545","162,203,000"
"Sep 26, 2017",2.97,3.08,2.89,2.99,"421,424","161,600,000"
"Sep 25, 2017",2.82,3.07,2.82,2.99,"457,087","153,411,000"
