Date,Open,High,Low,Close,Volume,Market Cap
"Dec 02, 2017",0.090184,0.098519,0.089947,0.093816,"82,791,100","1,601,920,000"
"Dec 01, 2017",0.072181,0.091459,0.071534,0.089883,"102,074,000","1,282,140,000"
"Nov 30, 2017",0.065554,0.078906,0.063939,0.072871,"66,684,900","1,164,430,000"
"Nov 29, 2017",0.081939,0.099881,0.060393,0.064424,"232,135,000","1,453,630,000"
"Nov 28, 2017",0.056877,0.084987,0.056486,0.081415,"142,589,000","1,007,510,000"
"Nov 27, 2017",0.048865,0.062059,0.048501,0.059843,"45,702,000","865,597,000"
"Nov 26, 2017",0.043762,0.049111,0.043762,0.048896,"30,583,700","775,201,000"
"Nov 25, 2017",0.040280,0.043943,0.040040,0.043639,"10,488,700","713,515,000"
"Nov 24, 2017",0.040437,0.041181,0.038939,0.040193,"11,277,900","716,293,000"
"Nov 23, 2017",0.042674,0.044142,0.040149,0.040535,"22,012,000","755,911,000"
"Nov 22, 2017",0.037669,0.042299,0.037566,0.042299,"13,859,400","667,261,000"
"Nov 21, 2017",0.038127,0.039060,0.036212,0.037668,"9,113,270","675,367,000"
"Nov 20, 2017",0.036619,0.039783,0.036174,0.038121,"13,726,200","648,715,000"
"Nov 19, 2017",0.036482,0.039945,0.036039,0.036566,"17,796,700","646,281,000"
"Nov 18, 2017",0.035494,0.036583,0.034652,0.036583,"6,979,350","628,776,000"
"Nov 17, 2017",0.037144,0.037293,0.034894,0.035572,"11,612,900","658,006,000"
"Nov 16, 2017",0.036987,0.037897,0.034634,0.037234,"20,597,200","655,235,000"
"Nov 15, 2017",0.036471,0.037343,0.034680,0.037053,"28,206,500","604,993,000"
"Nov 14, 2017",0.030610,0.037129,0.030382,0.036374,"18,880,900","507,761,000"
"Nov 13, 2017",0.028115,0.031968,0.028041,0.030656,"11,245,700","466,386,000"
"Nov 12, 2017",0.032965,0.033334,0.027469,0.028182,"17,002,300","546,827,000"
"Nov 11, 2017",0.033083,0.035830,0.031881,0.033053,"17,914,400","548,787,000"
"Nov 10, 2017",0.039833,0.039833,0.031366,0.033073,"32,634,200","660,767,000"
"Nov 09, 2017",0.033792,0.040380,0.033744,0.039946,"32,813,200","560,545,000"
"Nov 08, 2017",0.030657,0.035266,0.029160,0.033763,"39,618,700","508,549,000"
"Nov 07, 2017",0.028874,0.032871,0.028874,0.030699,"30,855,800","478,974,000"
